Top 10?,WA Water Resilence?,CFDA #,CFDA Name,Department/Ind. Agency,Awarding Sub Agency,Sub-Tier,WP Category,Types of Assistance,Total $,Total $ Rank,Per Capita $,Per Capita $ Rank,Unique from WP CFDA list?,Title,Related Federal Assistance,Last Date Modified,Date Published,Funded,POC Information
,y,10.212,Small Business Innovation Research,"AGRICULTURE, DEPARTMENT OF",National Institute of Food and Agriculture,NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,Research & Innovation,B - Project Grants,5559287.72,14,0.73,28,TRUE,Small Business Innovation Research,N/A,28-Jul-20,28-Jul-20,TRUE,"USDA, NIFA, National Program Leader,

Institute of Bioenergy, Climate and Environment – Division of Environmental Systems, P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061



ADDITIONAL CONTACT:



USDA, NIFA, National Program Leader,  Institute of Food Safety and Nutrition, Division of Food Safety, P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061, Kansas City MO 64141

(202) 720-5229"
,,10.215,Sustainable Agriculture Research and Education,"AGRICULTURE, DEPARTMENT OF",NULL,NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,Research & Innovation,B - Project Grants,0,47,0,48,TRUE,Sustainable Agriculture Research and Education,"10.652, 10.001, 10.200, 10.500, 10.202, 10.203, 10.001, 10.207, 10.500, 10.250, 10.205",28-Jul-20,28-Jul-20,TRUE,"USDA, NIFA, National Program Leader,

Institute of Food Production and Sustainability,

P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061, Kansas City MO 64141

(202) 401-0151"
,,10.216,1890 Institution Capacity Building Grants,USDA NIFA,NULL,,,RESEARCH & INNOVATION,0,48,0,48,FALSE,1890 Institution Capacity Grants,,,,,
,,10.227,1994 Institutions Research Program,USDA NIFA,National Institute of Food and Agriculture,,,RESEARCH & INNOVATION,2672447.27,6,0.351,7,FALSE,1994 Institutions Research Grants,,,,,
,,10.250,"Agricultural and Rural Economic Research, Cooperative Agreements and Collaborations",USDA ERS,Economic Research Service,,,RESEARCH & INNOVATION,1818099,6,0.239,6,FALSE,"AGRICULTURAL AND RURAL ECONOMIC RESEARCH, COOPERATIVE AGREEMENTS AND COLLABORATIONS",,,,,
,y,10.255,Research Innovation and Development Grants in Economic (RIDGE),"AGRICULTURE, DEPARTMENT OF",NULL,ECONOMIC RESEARCH SERVICE,Research & Innovation,A - Formula Grants (Cooperative Agreements),0,49,0,49,TRUE,Research Innovation and Development Grants in Economic (RIDGE),"10.001, 10.200, 10.202, 10.203, 10.001, 10.500, 10.153, 10.700",23-Sep-20,23-Sep-20,TRUE,"Nancy A. Thomas

355 E Street SW, Room 5-254, Washington DC 20024-3231

202-694-5008"
,,10.290,Agricultural Market and Economic Research,"AGRICULTURE, DEPARTMENT OF",NULL,"USDA, OFFICE OF THE CHIEF ECONOMIST",,B - Cooperative Agreements,0,50,0,50,FALSE,Agricultural Market and Economic Research,N/A,21-Sep-20,21-Sep-20,TRUE,"William H. Colby

1400 Independence Ave., SW Rm 4434-S

, Washington DC 20250-3812

2026902477"
,y,10.303,Integrated Programs,"AGRICULTURE, DEPARTMENT OF",National Institute of Food and Agriculture,NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,,B - Project Grants,5545080.13,7,0.728,19,FALSE,Integrated Programs,"10.500, 10.001, 10.652, 10.207, 10.212, 10.203, 10.500, 10.250, 10.202, 10.310, 10.310, 10.309, 10.309, 10.311, 10.200, 10.001, 10.311, 10.205, 10.219",30-Jul-20,30-Jul-20,TRUE,"USDA, NIFA, National Program Leader,

Institute of Bioenergy, Climate and Environment – Division of Environmental Systems, National Institute of Food and Agriculture U.S. Department of Agriculture

P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061



ADDITIONAL CONTACTS:



USDA, NIFA, National Program Leader;  Institute of Food Safety and Nutrition, Division of Food Safety P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061



USDA, NIFA, National Program Leader,  Institute of Food Production and Sustainability, Division of Animal Systems, P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061



AND



USDA, NIFA, National Program Leader,  Institute of Youth, Family, and Community, Division of Family and Consumer Sciences P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061, Kansas City MO 64141

(202) 720-5229"
,,10.306,Biodiesel,"AGRICULTURE, DEPARTMENT OF",NULL,NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,Research & Innovation,B - Project Grants,0,48,0,48,TRUE,Biodiesel,"10.310, 10.310",30-Jul-20,30-Jul-20,TRUE,"USDA, NIFA, National Program Leader,

Institute of Bioenergy, Climate, and Environment, Division of Bioenergy



P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061, Kansas City MO 64141

(202) 401-5244"
,,10.310,Agriculture and Food Research Initiative (AFRI),"AGRICULTURE, DEPARTMENT OF",National Institute of Food and Agriculture,NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,,B - Project Grants,150620815.4,3,19.78,10,FALSE,Agriculture and Food Research Initiative (AFRI),"10.652, 10.220, 10.200, 10.001, 10.309, 10.210, 10.202, 10.250, 10.205, 10.203, 10.212, 10.217, 10.219, 10.216, 10.500, 93.535, 10.001",5-Aug-20,5-Aug-20,TRUE,"USDA, NIFA, National Program Leader,

Institute of Food Production and Sustainability, Division of Animal Systems



P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061



ADDITIONAL CONTACTS:



USDA, NIFA, National Program Leader, Institute of Bioenergy, Climate, and Environment, Division of Global Climate Change, P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061



 USDA, NIFA, National Program Leader, Institute of Food Production and Sustainability, Division of Plant Systems-Protection, P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061



USDA, NIFA, National Program Leader,  Institute of Food Safety and Nutrition, Division of Food Safety, P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061



USDA, NIFA, National Program Leader, Institute of Bioenergy, Climate, and Environment, Division of Bioenergy, P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061



AND



USDA, NIFA, National Program Leader,  Institute of Food Safety and Nutrition, Division of Nutrition, P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061, Kansas City MO 64141

(202) 401-6134"
,,10.312,Biomass Research and Development Initiative Competitive Grants Program (BRDI),"AGRICULTURE, DEPARTMENT OF",National Institute of Food and Agriculture,NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,Research & Innovation,B - Project Grants,-79,41,0,41,TRUE,Biomass Research and Development Initiative Competitive Grants Program (BRDI),"10.215, 10.310, 10.200, 10.320, 10.212",17-Aug-20,17-Aug-20,TRUE,"USDA, NIFA, National Program Leader,

Institute of Bioenergy, Climate, and Environment, Division of Bioenergy, National Institute of Food and Agriculture

U.S. Department of Agriculture

P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061, Kansas City MO 64141

(202) 401-5244"
,,10.320,Sun Grant Program,"AGRICULTURE, DEPARTMENT OF",NULL,NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,Research & Innovation,B - Project Grants (Cooperative Agreements),0,48,0,48,TRUE,Sun Grant Program,"10.310, 10.312, 10.306, 10.312",5-Aug-20,5-Aug-20,TRUE,"USDA. NIFA, National Program Leader;

Institute of Bioenergy, Climate, and Environment, Division of Bioenergy, National Institute of Food and Agriculture U.S. Department of Agriculture

P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061, Kansas City MO 64141

(202) 401-5244"
,,10.326,Capacity Building for Non-Land Grant Colleges of Agriculture (NLGCA),USDA NIFA,National Institute of Food and Agriculture,,,RESEARCH & INNOVATION,45498.46,26,0.006,26,FALSE,CAPACITY BUILDING FOR NON-LAND GRANT COLLEGES OF AGRICULTURE (NLGCA),,,,,
,,10.328,"National Food Safety Training, Education, Extension, Outreach, and Technical Assistance Competitive Grants Program ",NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,National Institute of Food and Agriculture,,,Technical Assistance,1213400,7,0.159,15,FALSE,"NATIONAL FOOD SAFETY TRAINING, EDUCATION, EXTENSION, OUTREACH, AND TECHNICAL ASSISTANCE COMPETITIVE GRANTS PROGRAM",,,,,
,,10.330,Alfalfa and Forage Research Program,USDA NIFA,National Institute of Food and Agriculture,,,RESEARCH & INNOVATION,1282226.01,2,0.168,6,FALSE,ALFALFA AND FORAGE RESEARCH PROGRAM,,,,,
,,10.351,Rural Business Development Grant,"AGRICULTURE, DEPARTMENT OF",Rural Business Cooperative Service,RURAL BUSINESS COOPERATIVE SERVICE,Capital Projects,A - Formula Grants,3664659.58,25,0.481,37,TRUE,Rural Business Development Grant,"10.766, 10.768",13-Aug-20,13-Aug-20,TRUE,"Rural Business-Cooperative Services

Specialty Programs Division, 1400 Independence Avenue, SW, Room 4204, Stop 3226, , Washington DC 20250

202-720-1400"
,y,10.377,NULL,"AGRICULTURE, DEPARTMENT OF",NULL,RURAL BUSINESS COOPERATIVE SERVICE,Capital Projects,B - Project Grants,0,48,0,48,TRUE,Agriculture Innovation Center Demonstration Program,N/A,14-Aug-20,14-Aug-20,TRUE,"Gail Thuner

1400 Independence Avenue, SW

Mail Stop 3250, Room 4208-South, Washington DC 20250

202-690-2426"
,,10.460,Risk Management Education Partnerships,RISK MANAGEMENT AGENCY,Risk Management Agency,,,Education,1208617,7,0.159,13,FALSE,RISK MANAGEMENT EDUCATION PARTNERSHIPS,,,,,
,y,10.500,Cooperative Extension Service,"AGRICULTURE, DEPARTMENT OF",National Institute of Food and Agriculture,NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,,B - Project Grants,72686935.01,26,9.545,36,FALSE,Cooperative Extension Service,"10.652, 93.103, 15.611, 10.025, 10.025, 10.153, 10.304, 10.053, 93.103, 10.205, 10.001, 10.477, 10.227, 10.222, 10.551, 10.053, 10.155, 10.203, 10.221, 10.215, 10.902, 23.009, 10.001",5-Aug-20,5-Aug-20,TRUE,"USDA, NIFA, National Program Leader,

Institute of Food Production and Sustainability, Division of Plant Systems-Protection, National Institute of Food and Agriculture

U.S. Department of Agriculture

P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061



ADDITIONAL CONTACTS:

USDA, NIFA, National Program Leader,  Institute of Food Production and Sustainablity, Division of Agricultural Systems, P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061



USDA, NIFA, National Program Leader, Office of the Director, P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061



USDA, NIFA. National Program Leader, Institute of Youth, Family, and Community, P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061



USDA, NIFA, National Program Leader,  Institute of Food Safety and Nutrition, Division of Nutrition, P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061



USDA, NIFA, National Program Leader, Institute of Bioenergy, Climate, and Environment, Division of Global Climate Change, P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061



USDA, NIFA, National Program Leader, Institute of Youth, Family, and Community, Division of Youth and 4-H, P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061



USDA, NIFA, National Program Leader,  Institute of Youth, Family, and Community, Division of Community and Education, P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061



USDA, NIFA, National Program Leader,  Institute of Bioenergy, Climate and Environment – Division of Environmental Systems, P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061



AND



USDA, NIFA, National Program Leader,  Institute of Youth, Family, and Community, Division of Family and Consumer Sciences, P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061, Kansas City MO 64141

(202) 401-4939"
,,10.515,Renewable Resources Extension Act and National Focus Fund Projects,"AGRICULTURE, DEPARTMENT OF",National Institute of Food and Agriculture,NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,Technical Assistance,B - Project Grants (Discretionary),349428,7,0.046,30,TRUE,Renewable Resources Extension Act and National Focus Fund Projects,N/A,6-Aug-20,6-Aug-20,TRUE,"Institute of Bioenergy, Climate,  and Environment (IBCE), Division of Environmental Systems, Forest Resource Management, 1400 Independence Avenue, SW, Stop 2210 ,

ADDITIONAL CONTACT:

USDA, NIFA, National Program Leader, Institute of Bioenergy, Climate, and Environment (IBCE), Division of Environmental Systems, Range and Grasslands Ecosystems, National Institute of Food and Agriculture

U.S. Department of Agriculture

P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061, Kansas City MO 64141

(202) 720-0740"
,,10.517,Tribal Colleges Extension Programs,"AGRICULTURE, DEPARTMENT OF",National Institute of Food and Agriculture,NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,Technical Assistance,B - Project Grants (Discretionary),660000,9,0.087,10,TRUE,Tribal Colleges Extension Programs,N/A,12-Aug-20,12-Aug-20,TRUE,"Erin Riley

Institute of Youth, Family, and Community, Division of Community and Education, National Institute of Food and Agriculture

U.S. Department of Agriculture

P.O. Box 419205, Mail Stop 10000, Kansas City, MO 64141-6205

Courier/Package Delivery Address:

2312 East Bannister Road, Mail Stop 10000, Kansas City, MO 64141-3061, Kansas City MO 64141

202-690-0402"
,,10.601,Market Access Program,"AGRICULTURE, DEPARTMENT OF",NULL,FOREIGN AGRICULTURAL SERVICE,Technical Assistance,A - Formula Grants (Cooperative Agreements),0,48,0,48,TRUE,Market Access Program,10.6,5-Aug-20,5-Aug-20,TRUE,"Curt Alt

1400 Independence Ave SW, Washington DC 20250

202-720-4327"
,,10.618,NULL,"AGRICULTURE, DEPARTMENT OF",NULL,FOREIGN AGRICULTURAL SERVICE,Capital Projects,B - Project Grants,0,48,0,48,TRUE,Agricultural Trade Promotion Program,N/A,5-Aug-20,5-Aug-20,FALSE,"Curt Alt

1400 Independence Ave SW, Washington DC 20250

2027204327"
,,10.652,Forestry Research,Forest Service,Forest Service,,,RESEARCH & INNOVATION,7526627.84,5,0.988,11,FALSE,FORESTRY RESEARCH,,,,,
,y,10.664,Cooperative Forestry Assistance,"AGRICULTURE, DEPARTMENT OF",Forest Service,FOREST SERVICE,,B - Project Grants,71021682.88,7,9.327,21,FALSE,Cooperative Forestry Assistance,N/A,24-Mar-20,24-Mar-20,TRUE,"Anne Buckelew

201 14th St SW, Washington DC 20250

202-401-4073"
,,10.674,Wood Utilization Assistance,"AGRICULTURE, DEPARTMENT OF",Forest Service,FOREST SERVICE,Capital Projects,B - Project Grants,6213724.52,3,0.816,11,TRUE,Wood Utilization Assistance,N/A,6-Nov-20,6-Nov-20,TRUE,"Julie Tucker

1400 Independence Ave SW, Washington DC 20250

9195384150"
,,10.675,Urban and Community Forestry Program,USFWS,Forest Service,,,Conservation/Forestry/Watersheds,3038472.35,12,0.399,13,FALSE,URBAN AND COMMUNITY FORESTRY PROGRAM,,,,,
,,10.676,Forest Legacy Program,FOREST SERVICE,Forest Service,,,Conservation/Forestry/Watersheds,37686406.37,2,4.949,10,FALSE,FOREST LEGACY PROGRAM,,,,,
,,10.678,Forest Stewardship Program,FOREST SERVICE,Forest Service,,,Conservation/Forestry/Watersheds,281938,36,0.037,41,FALSE,FOREST STEWARDSHIP PROGRAM,,,,,
,,10.679,Collaborative Forest Restoration,Forest Service,Forest Service,,,Conservation/Forestry/Watersheds,453006,5,0.059,6,FALSE,COLLABORATIVE FOREST RESTORATION,,,,,
,,10.680,Forest Health Protection,FOREST SERVICE,Forest Service,,,Conservation/Forestry/Watersheds,7443917.13,10,0.978,19,FALSE,FOREST HEALTH PROTECTION,,,,,
,,10.684,International Forestry Programs,"AGRICULTURE, DEPARTMENT OF",Forest Service,FOREST SERVICE,Education,B - Project Grants,25000,31,0.003,32,TRUE,International Forestry Programs,N/A,2-Sep-20,2-Sep-20,TRUE,"Vanessa Felder-Pinkney

1 Thomas Circle NW Suite 400, Washington DC 20005

202-644-4613"
,,10.687,Recovery Act of 2009: Capital Improvement and Maintenance,Forest Service,Forest Service,,,Capital Projects,2312274,9,0.304,14,FALSE,RECOVERY ACT OF 2009: CAPITAL IMPROVEMENT AND MAINTENANCE,,,,,
,y,10.689,Community Forest and Open Space Conservation Program (CFP),"AGRICULTURE, DEPARTMENT OF",Forest Service,FOREST SERVICE,,B - Project Grants (Discretionary),2431879.96,3,0.319,7,FALSE,Community Forest and Open Space Conservation Program (CFP),10.676,22-Sep-20,22-Sep-20,TRUE,"Scott Stewart

1400 Independence Ave SW, MS-1123, Washington DC 20850

202-205-1618"
,,10.691,Good Neighbor Authority,Forest Service,Forest Service,,,Conservation/Forestry/Watersheds,4715479.39,6,0.619,9,FALSE,GOOD NEIGHBOR AUTHORITY,,,,,
,y,10.693,Watershed Restoration and Enhancement Agreement Authority,"AGRICULTURE, DEPARTMENT OF",Forest Service,FOREST SERVICE,,B - Cooperative Agreements (Discretionary Grants),396585,8,0.052,8,FALSE,Watershed Restoration and Enhancement Agreement Authority,N/A,23-Mar-20,23-Mar-20,TRUE,"FS Watershed and Aquatics,

201 14th Street NW, Room 3SE, Washington DC 20024

(202) 205-1671"
,,10.698,State & Private Forestry Cooperative Fire Assistance,,NULL,,,,0,50,0,50,FALSE,State & Private Forestry Cooperative Fire Assistance,,,,,
,,10.701,Stewardship Agreements,"AGRICULTURE, DEPARTMENT OF",NULL,FOREST SERVICE,Conservation,B - Cooperative Agreements,0,48,0,48,TRUE,Stewardship Agreements,N/A,2-Sep-20,2-Sep-20,TRUE,"John Crockett

1400 Independence Ave, SW Mailstop 1138, Washington DC 20250

202-205-1495"
,y,10.708,NULL,"AGRICULTURE, DEPARTMENT OF",NULL,FOREST SERVICE,Capital Projects,B - Project Grants,0,48,0,48,TRUE,Community Wood Energy and Wood Innovation Program,N/A,24-Mar-20,24-Mar-20,TRUE,"Julie Tucker

1400 Independence Ave SW, Washington DC 20250

9195384150"
,,10.712,Great American Outdoors Act Deferred Maintenance Program,"AGRICULTURE, DEPARTMENT OF",NULL,FOREST SERVICE,Capital Projects,C - Direct Payments for Specified Use (Cooperative Agreements),0,48,0,48,TRUE,Great American Outdoors Act Deferred Maintenance Program,N/A,25-Dec-20,25-Dec-20,TRUE,"Christopher Coppenbarger

201 Independence Ave, SW, Washington DC 20250

202-641-6350"
,,10.759,Part 1774 Special Evaluation Assistance for Rural Communities and Households (SEARCH),"AGRICULTURE, DEPARTMENT OF",Rural Utilities Service,RURAL UTILITIES SERVICE,,B - Project Grants,244897.18,32,0.032,38,FALSE,Part 1774 Special Evaluation Assistance for Rural Communities and Households (SEARCH),N/A,18-Aug-20,18-Aug-20,TRUE,"Assistant Administrator

1400 Independence Ave., SW, Stop 1548, Washington DC 20250

(202) 690-2670"
,y,10.760,Water and Waste Disposal Systems for Rural Communities,"AGRICULTURE, DEPARTMENT OF",Rural Utilities Service,RURAL UTILITIES SERVICE,,E - Direct Loans,88318017.93,29,11.598,38,FALSE,Water and Waste Disposal Systems for Rural Communities,"11.300, 14.218",18-Aug-20,18-Aug-20,TRUE,"Assistant Administrator, Water and Environmental Programs,

Rural Utilities Service, Department of Agriculture, 1400 Independence Ave., SW, Stop 1548, Washington DC 20250

(202) 690-2670."
,,10.760,Water and Waste Disposal Systems for Rural Communities,"AGRICULTURE, DEPARTMENT OF",Rural Utilities Service,RURAL UTILITIES SERVICE,,E - Direct Loans,88318017.93,29,11.598,38,FALSE,Water and Waste Disposal Systems for Rural Communities,"11.300, 14.218",########,########,TRUE,"Assistant Administrator, Water and Environmental Programs,

Rural Utilities Service, Department of Agriculture, 1400 Independence Ave., SW, Stop 1548, Washington DC 20250

(202) 690-2670."
,,10.761,Technical Assistance and Training Grants,"AGRICULTURE, DEPARTMENT OF",Rural Utilities Service,RURAL UTILITIES SERVICE,,B - Project Grants (for specified projects),828382.8,15,0.109,15,FALSE,Technical Assistance and Training Grants,N/A,21-Aug-20,21-Aug-20,TRUE,"Edna Primrose

Rural Utilities Service, 1400 Independence Ave.,  SW, Stop 1548, Washington DC 20250

(202) 690-2670"
,,10.762,Solid Waste Management Grants,"AGRICULTURE, DEPARTMENT OF",Rural Utilities Service,RURAL UTILITIES SERVICE,,B - Project Grants,262625,30,0.034,33,FALSE,Solid Waste Management Grants,N/A,18-Aug-20,18-Aug-20,TRUE,"Edna Primrose

Rural Utilities Service, Department of Agriculture, 1400 Independence Ave., SW, Stop 1548, Washington DC 20250

(202) 692-0308"
,,10.763,Emergency Community Water Assistance Grants,"AGRICULTURE, DEPARTMENT OF",Rural Utilities Service,RURAL UTILITIES SERVICE,,B - Project Grants,2141675.68,17,0.281,22,FALSE,Emergency Community Water Assistance Grants,10.76,18-Aug-20,18-Aug-20,TRUE,"Assistant Administrator

1400 Independence Ave., SW, Washington DC 20250

202-690-2670"
,,10.766,Community Facilities Loans and Grants,RURAL UTILITIES SERVICE,Rural Housing Service,,,Capital Projects,8228039.78,27,1.081,34,FALSE,COMMUNITY FACILITIES LOANS AND GRANTS,,,,,
,,10.768,Business and Industry Loans,"AGRICULTURE, DEPARTMENT OF",NULL,RURAL BUSINESS COOPERATIVE SERVICE,Capital Projects,F - Guaranteed/Insured Loans,0,48,0,48,TRUE,Business and Industry Loans,"10.769, 10.766",12-Aug-20,12-Aug-20,TRUE,"B&I Processing Branch

U.S. Department of Agriculture

Rural Business-Cooperative Service

1400 Independence Ave SW, Stop 3224, Washington DC 20250-3224

202-690-4103"
